Clock,Number of Servers,Number of Servers in Use,Number of Requests
848,11,11,276
849,11,11,276
850,11,11,276
851,11,11,275
852,11,11,275
853,11,11,276
854,11,11,276
855,11,11,275
856,11,11,275
857,11,11,275
858,11,11,276
859,11,11,274
860,11,11,274
861,11,11,274
862,11,11,274
863,11,11,273
864,11,11,273
865,11,11,273
866,11,11,273
867,11,11,274
868,11,11,277
869,11,11,278
870,11,11,277
871,11,11,278
872,11,11,278
873,11,11,278
874,11,11,279
875,11,11,279
876,11,11,280
877,11,11,280
878,11,11,280
879,11,11,279
880,11,11,279
881,11,11,279
882,11,11,279
883,11,11,280
884,11,11,280
885,11,11,279
886,11,11,278
887,11,11,277
888,11,11,277
889,11,11,278
890,11,11,278
891,11,11,278
892,11,11,277
893,11,11,277
894,11,11,277
895,11,11,277
896,11,11,277
897,11,11,277
898,11,11,277
899,11,11,277
900,12,11,277
901,12,12,276
902,12,12,276
903,12,12,276
904,12,12,277
905,12,12,277
906,12,12,277
907,12,12,277
908,12,12,277
909,12,12,277
910,12,12,276
911,12,12,279
912,12,12,280
913,12,12,280
914,12,12,280
915,12,12,279
916,12,12,279
917,12,12,279
918,12,12,279
919,12,12,277
920,12,12,278
921,12,12,278
922,12,12,283
923,12,12,283
924,12,12,283
925,12,12,283
926,12,12,283
927,12,12,282
928,12,12,282
929,12,12,282
930,12,12,282
931,12,12,282
932,12,12,282
933,12,12,282
934,12,12,282
935,12,12,282
936,12,12,282
937,12,12,282
938,12,12,281
939,12,12,281
940,12,12,281
941,12,12,281
942,12,12,282
943,12,12,280
944,12,12,280
945,12,12,280
946,12,12,279
947,12,12,279
948,12,12,279
949,12,12,280
950,12,12,282
951,12,12,283
952,12,12,283
953,12,12,283
954,12,12,283
955,12,12,283
956,12,12,283
957,12,12,284
958,12,12,283
959,12,12,283
960,12,12,283
961,12,12,283
962,12,12,283
963,12,12,283
964,12,12,283
965,12,12,283
966,12,12,281
967,12,12,281
968,12,12,281
969,12,12,281
970,12,12,282
971,12,12,282
972,12,12,282
973,12,12,283
974,12,12,283
975,12,12,283
976,12,12,283
977,12,12,285
978,12,12,285
979,12,12,284
980,12,12,284
981,12,12,284
982,12,12,284
983,12,12,283
984,12,12,283
985,12,12,283
986,12,12,283
987,12,12,283
988,12,12,283
989,12,12,283
990,12,12,283
991,12,12,283
992,12,12,284
993,12,12,284
994,12,12,285
995,12,12,286
996,12,12,285
997,12,12,285
998,12,12,284
999,12,12,284
1000,12,12,284
1001,12,12,285
1002,12,12,284
1003,12,12,284
1004,12,12,284
1005,12,12,284
1006,12,12,285
1007,12,12,285
1008,12,12,285
1009,12,12,285
1010,12,12,284
1011,12,12,284
1012,12,12,284
1013,12,12,284
1014,12,12,284
1015,12,12,284
1016,12,12,284
1017,12,12,284
1018,12,12,283
1019,12,12,282
1020,12,12,282
1021,12,12,282
1022,12,12,281
1023,12,12,280
1024,12,12,280
1025,12,12,280
1026,12,12,280
1027,12,12,280
1028,12,12,280
1029,12,12,280
1030,12,12,280
1031,12,12,278
1032,12,12,280
1033,12,12,280
1034,12,12,279
1035,12,12,279
1036,12,12,280
1037,12,12,280
1038,12,12,280
1039,12,12,280
1040,12,12,280
1041,12,12,279
1042,12,12,280
1043,12,12,280
1044,12,12,280
1045,12,12,281
1046,12,12,281
1047,12,12,281
1048,12,12,281
1049,12,12,281
1050,12,12,281
1051,12,12,281
1052,12,12,283
1053,12,12,283
1054,12,12,283
1055,12,12,283
1056,12,12,282
1057,12,12,283
1058,12,12,283
1059,12,12,283
1060,12,12,284
1061,12,12,284
1062,12,12,284
1063,12,12,285
1064,12,12,286
1065,12,12,286
1066,12,12,286
1067,12,12,286
1068,12,12,287
1069,12,12,288
1070,12,12,289
1071,12,12,289
1072,12,12,289
1073,12,12,290
1074,12,12,289
1075,12,12,292
1076,12,12,291
1077,12,12,291
1078,12,12,291
1079,12,12,290
1080,12,12,290
1081,12,12,289
1082,12,12,287
1083,12,12,286
1084,12,12,287
1085,12,12,287
1086,12,12,286
1087,12,12,286
1088,12,12,286
1089,12,12,286
1090,12,12,287
1091,12,12,287
1092,12,12,287
1093,12,12,287
1094,12,12,287
1095,12,12,288
1096,12,12,288
1097,12,12,288
1098,12,12,288
1099,12,12,289
1100,12,12,289
1101,12,12,288
1102,12,12,287
1103,12,12,287
1104,12,12,287
1105,12,12,287
1106,12,12,287
1107,12,12,287
1108,12,12,289
1109,12,12,289
1110,12,12,289
1111,12,12,289
1112,12,12,289
1113,12,12,289
1114,12,12,289
1115,12,12,289
1116,12,12,289
1117,12,12,289
1118,12,12,289
1119,12,12,289
1120,12,12,291
1121,12,12,290
1122,12,12,290
1123,12,12,291
1124,12,12,291
1125,12,12,290
1126,12,12,290
1127,12,12,291
1128,12,12,291
1129,12,12,291
1130,12,12,291
1131,12,12,291
1132,12,12,290
1133,12,12,291
1134,12,12,291
1135,12,12,291
1136,12,12,291
1137,12,12,290
1138,12,12,290
1139,12,12,290
1140,12,12,290
1141,12,12,290
1142,12,12,290
1143,12,12,292
1144,12,12,292
1145,12,12,292
1146,12,12,292
1147,12,12,292
1148,12,12,292
1149,12,12,292
1150,12,12,292
1151,12,12,292
1152,12,12,292
1153,12,12,292
1154,12,12,290
1155,12,12,290
1156,12,12,290
1157,12,12,290
1158,12,12,290
1159,12,12,290
1160,12,12,290
1161,12,12,290
1162,12,12,289
1163,12,12,288
1164,12,12,289
1165,12,12,288
1166,12,12,287
1167,12,12,287
1168,12,12,288
1169,12,12,287
1170,12,12,287
1171,12,12,287
1172,12,12,287
1173,12,12,286
1174,12,12,286
1175,12,12,286
1176,12,12,286
1177,12,12,285
1178,12,12,285
1179,12,12,285
1180,12,12,286
1181,12,12,286
1182,12,12,285
1183,12,12,288
1184,12,12,288
1185,12,12,288
1186,12,12,287
1187,12,12,290
1188,12,12,289
1189,12,12,289
1190,12,12,289
1191,12,12,288
1192,12,12,288
1193,12,12,288
1194,12,12,290
1195,12,12,290
1196,12,12,290
1197,12,12,291
1198,12,12,290
1199,12,12,290
1200,12,12,289
1201,12,12,288
1202,12,12,287
1203,12,12,286
1204,12,12,286
1205,12,12,287
1206,12,12,287
1207,12,12,287
1208,12,12,289
1209,12,12,288
1210,12,12,288
1211,12,12,288
1212,12,12,288
1213,12,12,289
1214,12,12,289
1215,12,12,289
1216,12,12,289
1217,12,12,289
1218,12,12,291
1219,12,12,291
1220,12,12,291
1221,12,12,290
1222,12,12,290
1223,12,12,290
1224,12,12,292
1225,12,12,291
1226,12,12,289
1227,12,12,288
1228,12,12,288
1229,12,12,291
1230,12,12,292
1231,12,12,292
1232,12,12,292
1233,12,12,292
1234,12,12,292
1235,12,12,292
1236,12,12,293
1237,12,12,293
1238,12,12,293
1239,12,12,294
1240,12,12,294
1241,12,12,295
1242,12,12,293
1243,12,12,293
1244,12,12,293
1245,12,12,293
1246,12,12,293
1247,12,12,296
1248,12,12,297
1249,12,12,297
1250,12,12,297
1251,12,12,300
1252,12,12,299
1253,12,12,300
1254,12,12,300
1255,12,12,300
1256,12,12,299
1257,12,12,299
1258,12,12,299
1259,12,12,299
1260,12,12,299
1261,12,12,298
1262,12,12,297
1263,12,12,296
1264,12,12,296
1265,12,12,296
1266,12,12,297
1267,12,12,298
1268,12,12,298
1269,12,12,298
1270,12,12,298
1271,12,12,298
1272,12,12,299
1273,12,12,299
1274,12,12,299
1275,12,12,299
1276,12,12,298
1277,12,12,298
1278,12,12,298
1279,12,12,298
1280,12,12,299
1281,12,12,299
1282,12,12,299
1283,12,12,299
1284,12,12,300
1285,12,12,300
1286,12,12,300
1287,12,12,301
1288,12,12,300
1289,12,12,301
1290,12,12,303
1291,12,12,303
1292,12,12,303
1293,12,12,303
1294,12,12,302
1295,12,12,303
1296,12,12,304
1297,12,12,304
1298,12,12,304
1299,12,12,304
1300,13,12,304
1301,13,13,302
1302,13,13,303
1303,13,13,303
1304,13,13,302
1305,13,13,302
1306,13,13,301
1307,13,13,300
1308,13,13,301
1309,13,13,301
1310,13,13,301
1311,13,13,302
1312,13,13,302
1313,13,13,302
1314,13,13,302
1315,13,13,302
1316,13,13,302
1317,13,13,303
1318,13,13,305
1319,13,13,306
1320,13,13,307
1321,13,13,307
1322,13,13,306
1323,13,13,306
1324,13,13,306
1325,13,13,307
1326,13,13,307
1327,13,13,307
1328,13,13,306
1329,13,13,306
1330,13,13,306
1331,13,13,306
1332,13,13,307
1333,13,13,306
1334,13,13,306
1335,13,13,306
1336,13,13,305
1337,13,13,305
1338,13,13,305
1339,13,13,304
1340,13,13,303
1341,13,13,305
1342,13,13,306
1343,13,13,306
1344,13,13,305
1345,13,13,305
1346,13,13,305
1347,13,13,305
1348,13,13,305
1349,13,13,303
1350,13,13,303
1351,13,13,303
1352,13,13,303
1353,13,13,304
1354,13,13,305
1355,13,13,305
1356,13,13,304
1357,13,13,303
1358,13,13,302
1359,13,13,302
1360,13,13,305
1361,13,13,305
1362,13,13,305
1363,13,13,305
1364,13,13,305
1365,13,13,305
1366,13,13,305
1367,13,13,305
1368,13,13,307
1369,13,13,307
1370,13,13,309
1371,13,13,309
1372,13,13,310
1373,13,13,310
1374,13,13,310
1375,13,13,311
1376,13,13,311
1377,13,13,311
1378,13,13,310
1379,13,13,310
1380,13,13,310
1381,13,13,310
1382,13,13,309
1383,13,13,308
1384,13,13,308
1385,13,13,308
1386,13,13,308
1387,13,13,308
1388,13,13,308
1389,13,13,308
1390,13,13,309
1391,13,13,308
1392,13,13,308
1393,13,13,308
1394,13,13,309
1395,13,13,309
1396,13,13,309
1397,13,13,309
1398,13,13,310
1399,13,13,311
1400,13,13,313
1401,13,13,314
1402,13,13,313
1403,13,13,312
1404,13,13,312
1405,13,13,312
1406,13,13,313
1407,13,13,313
1408,13,13,313
1409,13,13,313
1410,13,13,313
1411,13,13,313
1412,13,13,313
1413,13,13,313
1414,13,13,313
1415,13,13,313
1416,13,13,314
1417,13,13,314
1418,13,13,314
1419,13,13,314
1420,13,13,313
1421,13,13,313
1422,13,13,313
1423,13,13,313
1424,13,13,313
1425,13,13,313
1426,13,13,313
1427,13,13,313
1428,13,13,313
1429,13,13,313
1430,13,13,312
1431,13,13,311
1432,13,13,310
1433,13,13,309
1434,13,13,308
1435,13,13,307
1436,13,13,310
1437,13,13,311
1438,13,13,311
1439,13,13,315
1440,13,13,315
1441,13,13,314
1442,13,13,313
1443,13,13,314
1444,13,13,314
1445,13,13,314
1446,13,13,313
1447,13,13,313
1448,13,13,313
1449,13,13,313
1450,13,13,313
1451,13,13,313
1452,13,13,313
1453,13,13,312
1454,13,13,312
1455,13,13,312
1456,13,13,312
1457,13,13,313
1458,13,13,313
1459,13,13,313
1460,13,13,313
1461,13,13,313
1462,13,13,314
1463,13,13,315
1464,13,13,315
1465,13,13,315
1466,13,13,317
1467,13,13,318
1468,13,13,319
1469,13,13,317
1470,13,13,315
1471,13,13,314
1472,13,13,316
1473,13,13,317
1474,13,13,317
1475,13,13,317
1476,13,13,318
1477,13,13,318
1478,13,13,317
1479,13,13,317
1480,13,13,316
1481,13,13,316
1482,13,13,317
1483,13,13,318
1484,13,13,318
1485,13,13,318
1486,13,13,318
1487,13,13,318
1488,13,13,318
1489,13,13,317
1490,13,13,317
1491,13,13,317
1492,13,13,318
1493,13,13,318
1494,13,13,316
1495,13,13,316
1496,13,13,316
1497,13,13,316
1498,13,13,316
1499,13,13,316
1500,13,13,315
1501,13,13,316
1502,13,13,317
1503,13,13,317
1504,13,13,318
1505,13,13,318
1506,13,13,319
1507,13,13,319
1508,13,13,320
1509,13,13,319
1510,13,13,319
1511,13,13,318
1512,13,13,318
1513,13,13,318
1514,13,13,318
1515,13,13,319
1516,13,13,319
1517,13,13,318
1518,13,13,318
1519,13,13,318
1520,13,13,318
1521,13,13,319
1522,13,13,319
1523,13,13,319
1524,13,13,319
1525,13,13,319
1526,13,13,319
1527,13,13,321
1528,13,13,321
1529,13,13,319
1530,13,13,319
1531,13,13,320
1532,13,13,320
1533,13,13,321
1534,13,13,321
1535,13,13,321
1536,13,13,320
1537,13,13,320
1538,13,13,320
1539,13,13,320
1540,13,13,320
1541,13,13,322
1542,13,13,322
1543,13,13,322
1544,13,13,322
1545,13,13,322
1546,13,13,322
1547,13,13,322
1548,13,13,322
1549,13,13,322
1550,13,13,323
1551,13,13,323
1552,13,13,323
1553,13,13,322
1554,13,13,323
1555,13,13,323
1556,13,13,323
1557,13,13,323
1558,13,13,326
1559,13,13,325
1560,13,13,325
1561,13,13,325
1562,13,13,325
1563,13,13,325
1564,13,13,326
1565,13,13,326
1566,13,13,326
1567,13,13,325
1568,13,13,326
1569,13,13,325
1570,13,13,325
1571,13,13,324
1572,13,13,324
1573,13,13,324
1574,13,13,324
1575,13,13,324
1576,13,13,323
1577,13,13,323
1578,13,13,325
1579,13,13,325
1580,13,13,325
1581,13,13,325
1582,13,13,325
1583,13,13,324
1584,13,13,324
1585,13,13,324
1586,13,13,323
1587,13,13,325
1588,13,13,326
1589,13,13,326
1590,13,13,326
1591,13,13,327
1592,13,13,327
1593,13,13,328
1594,13,13,327
1595,13,13,326
1596,13,13,327
1597,13,13,327
1598,13,13,326
1599,13,13,324
1600,13,13,324
1601,13,13,324
1602,13,13,324
1603,13,13,324
1604,13,13,324
1605,13,13,324
1606,13,13,324
1607,13,13,324
1608,13,13,324
1609,13,13,324
1610,13,13,324
1611,13,13,325
1612,13,13,325
1613,13,13,325
1614,13,13,325
1615,13,13,326
1616,13,13,325
1617,13,13,325
1618,13,13,326
1619,13,13,327
1620,13,13,327
1621,13,13,326
1622,13,13,326
1623,13,13,326
1624,13,13,325
1625,13,13,327
1626,13,13,326
1627,13,13,326
1628,13,13,327
1629,13,13,327
1630,13,13,327
1631,13,13,328
1632,13,13,328
1633,13,13,330
1634,13,13,330
1635,13,13,331
1636,13,13,330
1637,13,13,330
1638,13,13,330
1639,13,13,330
1640,13,13,330
1641,13,13,330
1642,13,13,331
1643,13,13,331
1644,13,13,329
1645,13,13,329
1646,13,13,329
1647,13,13,329
1648,13,13,329
1649,13,13,329
1650,13,13,330
1651,13,13,331
1652,13,13,332
1653,13,13,332
1654,13,13,332
1655,13,13,332
1656,13,13,332
1657,13,13,332
1658,13,13,332
1659,13,13,331
